erezaugtanẽpo	erezaugta nẽpo
oʔararehe	oʔararehe
apotar	a potar
sə	sə
dokte	d ok te
nãsĩʔõ	nã sĩʔõ
tuʔum	tuʔum
zetɨg	zetɨg
nõderehe	nõde rehe
oʔar	o ʔar
teresĩ	teresĩ
zapɨhɨpa	zapɨhɨpa
nõde	nõde
imõdo	imõd o
iwɨb	iwɨ b
kukupope	kuku pope
adʒu	adʒu
okurukagarupi	o kuru ka ga rupi
aʔereiba	aʔe reiba
datikatu	dati katu
eibawe	eiba we
kaʔi	ka ʔi
itawa	itawa
ipurite	ipuri te
iawuŋ	iawu ŋ
aʔepori	aʔe pori
orekʷar	orekʷar
wɨɲanẽ	wɨɲ anẽ
zokarakurikom	zo karakuri kom
pɨanamara	pɨanam ara
amãʔẽ	a mãʔẽ
aiɲuŋokar	aiɲuŋ okar
odʒakaʔar	odʒaka ʔar
zarate	zarate
kija	kija
kotɨ	kotɨ
watekotɨ	watekotɨ
nipẽrehe	nipẽ rehe
dizeraʔenawe	di zer aʔenawe
ozoka	ozoka
ikotɨŋ	ikotɨ ŋ
duʔauhu	duʔa uhu
deradʒɨr	deradʒɨ r
ekuʔi	e kuʔi
oʔureʔeɲ	oʔur eʔe ɲ
pekuar	pe kuar
wane	wane
wai	wai
tazepir	taze pir
pasiʔɨrehedʒira	pasi ʔɨ rehe dʒi ra
tɨkadɨr	tɨkadɨr
zapuru	zapu ru
ozikamãʔẽ	ozikamãʔẽ
ibaʔeraɨo	ibaʔeraɨ o
depe	depe
oibarehe	oiba rehe
dʒasor	dʒa so r
mais	mais
ehekom	ehe kom
tazaugpanane	ta zaugpa nane
ononan	o no nan
nanimãʔẽra	nani mãʔẽ ra
dobaʔepakatudʒi	do baʔe pakatu dʒi
aotar	a otar
ozeɨruʔog	oze ɨru ʔog
ozewa	ozewa
sidʒapɨakaõwã	si dʒapɨakaõwã
apamaʔewi	apamaʔe wi
wanekuwa	wane kuwa
zotunaʔɨɲate	zotunaʔɨɲate
nõderapɨdʒam	nõderapɨdʒ am
amõ	amõ
tapug	tapug
oanõ	o a nõ
eiba	eiba
disimãʔẽɲi	di simãʔẽ ɲi
idʒeenam	idʒe enam
sidʒewɨranam	sidʒewɨra nam
onaʔaŋtar	o naʔaŋtar
tekoam	teko am
waɨ	waɨ
tamãʔẽpope	tamãʔẽ pope
okaʔarokar	okaʔar okar
demõdate	de mõd ate
puri	puri
zaikonam	zaiko nam
erapɨdʒape	erapɨdʒ ape
aporoekar	aporoe kar
oapɨgeʔeo	oapɨg eʔe o
nõderapɨdʒapope	nõderapɨdʒ a pope
ozaʔogoŋ	ozaʔog oŋ
aʔekomaraikʷararupawərareheʔe	aʔekom a raikʷara rupawəra rehe ʔe
baʔe	baʔe
oapɨgo	oapɨg o
nõdutari	nõdu tari
bodʒuhukomãhã	bodʒuhukom ãhã
baʔekom	baʔe kom
ererekʷar	ererekʷar
peotar	peotar
nõdeapisitanẽ	nõde apisita nẽ
apamaʔesiparate	apamaʔe siparate
airuɲmãʔẽ	a iru ɲ mãʔẽ
dzewaka	dze waka
sĩ	sĩ
sikədʒi	sikədʒi
nõderaɨhɨpadʒira	nõ deraɨhɨpadʒi ra
edʒɨawe	edʒɨ awe
azewirtar	aze wir tar
eakã	eakã
ba	ba
